n,Treatment,treatment_label,gender,age,study,DictatorCharity,giveC,min_ug,Favor_intentions,Favor_revenge,Favor_return,Punish_Self,Punish_Others,Gift,Give_Charity,Donation_Good_Cause,Wage,Effort,Acceptance
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,1,0.0,0.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,3,0.0,0.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,5,0.0,0.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,10,0.0,0.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,15,0.0,0.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,20,0.0,0.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,25,3.0,1.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,30,3.0,1.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,35,3.0,1.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,40,4.0,1.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,45,4.0,1.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,50,4.0,1.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,55,4.0,1.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,60,5.0,1.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,65,5.0,1.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,75,5.0,1.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,85,5.0,1.0
0,S,Prosocial,0,25,3,20,20.0,50.0,3,3,6,4,3,3,5,150,95,5.0,1.0
1,S,Prosocial,1,27,2,20,20.0,40.0,2,6,8,8,8,5,8,300,1,0.0,0.0
1,S,Prosocial,1,27,2,20,20.0,40.0,2,6,8,8,8,5,8,300,3,0.0,0.0
1,S,Prosocial,1,27,2,20,20.0,40.0,2,6,8,8,8,5,8,300,5,1.0,1.0
