principal_n,Treatment,treatment_label,PA_Offer_Principal,PAWage,OptimalWage,real_profitmax_wage,DictatorCharity,giveC,gender,age,study,Wage,ExpectedAcceptance,ExpectedEffort
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,1,0.0,0.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,3,0.0,0.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,5,1.0,1.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,10,1.0,2.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,15,1.0,3.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,20,1.0,3.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,25,1.0,3.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,30,1.0,4.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,35,1.0,4.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,40,1.0,5.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,45,1.0,6.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,50,1.0,7.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,55,1.0,8.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,60,1.0,9.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,65,1.0,10.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,75,1.0,10.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,85,1.0,10.0
0,S,Prosocial,50.0,50,95,25.0,30,30.0,0,22,3,95,1.0,10.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,1,0.0,0.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,3,0.0,0.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,5,0.0,0.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,10,0.0,0.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,15,0.0,0.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,20,0.0,0.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,25,1.0,1.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,30,1.0,2.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,35,1.0,2.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,40,1.0,3.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,45,1.0,4.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,50,1.0,5.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,55,1.0,6.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,60,1.0,7.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,65,1.0,8.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,75,1.0,9.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,85,1.0,9.0
1,S,Prosocial,35.0,35,75,60.0,20,20.0,1,20,2,95,1.0,10.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,1,0.0,0.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,3,0.0,0.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,5,0.0,0.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,10,0.0,0.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,15,0.0,0.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,20,0.0,0.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,25,0.0,0.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,30,1.0,10.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,35,1.0,10.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,40,1.0,10.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,45,1.0,10.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,50,1.0,10.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,55,1.0,10.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,60,1.0,10.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,65,1.0,10.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,75,1.0,10.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,85,1.0,10.0
2,S,Prosocial,60.0,60,25,15.0,10,10.0,0,30,3,95,1.0,10.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,1,0.0,0.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,3,0.0,0.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,5,0.0,0.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,10,0.0,0.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,15,1.0,4.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,20,1.0,5.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,25,1.0,3.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,30,1.0,3.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,35,1.0,3.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,40,1.0,3.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,45,1.0,1.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,50,1.0,1.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,55,1.0,1.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,60,1.0,1.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,65,1.0,1.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,75,1.0,1.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,85,1.0,1.0
3,P,GE,20.0,20,25,25.0,30,30.0,1,23,3,95,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,1,0.0,0.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,3,0.0,0.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,5,0.0,0.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,10,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,15,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,20,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,25,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,30,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,35,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,40,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,45,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,50,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,55,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,60,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,65,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,75,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,85,1.0,1.0
4,P,GE,30.0,30,1,55.0,0,0.0,0,26,3,95,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,1,0.0,0.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,3,0.0,0.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,5,0.0,0.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,10,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,15,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,20,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,25,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,30,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,35,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,40,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,45,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,50,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,55,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,60,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,65,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,75,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,85,1.0,1.0
5,P,GE,10.0,10,60,35.0,0,0.0,0,23,1,95,1.0,1.0
6,S,Prosocial,10.0,10,10,65.0,60,60.0,1,24,2,1,0.0,0.0
6,S,Prosocial,10.0,10,10,65.0,60,60.0,1,24,2,3,0.0,0.0
