"Group2","Marker","Group1","Date","Session","Treatment","subjects","Period","Subject","Group","Profit","TotalProfit","Participate","R1","Rank1","R2","Rank2","R0","Rank0","Group0","Type","TimeContinueWelcomeOK","charity","charityPart2","TimeOKChoiceCharityOK","TimeOKPart1OK","DictatorSelf","DictatorCharity","TimeOKUltimatumAgentOK","TimeOKPayoffInformationOK","answerPart2","TimeOKCodeToStartPart2OK","TimeOKPart2OK","answer1","answer2","answer3","answer4","answer6","answer7","TimeOKControlQuestionsOK","TimeOKGroupAssignmentOK","TimeOKPAPrincipalExpectedAcceptanceOK","TimeOKPAPrincipalEffortOK","OptimalWage","TimeOKPAAgentOK","TimeOKPAAgentEffortOK","PreferedWage","PreferedEffort","TimeOKPAAgentPreferedContractOK","TimeCONTINUEQuestionnaireOK","gender","age","study","TimeCONTINUEQuestion1SociecoOK","fair_wage","fair_effort","TimeCONTINUEQuestion2FairnessRatingsOK","Give_Charity","Punish_Self","Punish_Others","TimeCONTINUEQuestion3WillingnessToActOK","Favor_return","Favor_revenge","Favor_intentions","TimeCONTINUEQuestion4FavorOK","Gift","TimeCONTINUEQuestion5GiftOK","Donation_Good_Cause","TimeCONTINUEQuestion6DonationOK","UltimatumContractConcluded","PAContractConcluded","PAEffort","PAWage","UltimatumPayoff","PAPayoff","OptimalWagePayoff","OptimalWageBonus","NumCorrectAcceptGuesses","NumCorrectRefuseGuesses","PayoffPart1","TotalPayoff","PayoffCharityPart1","PayoffCharityPart1Euro","PayoffCharityPart2","PayoffCharityPart2Euro","TotalPayoffCharity","TotalPayoffCharityEuro","TimeOKFinalPayoffCalculationOK","TimeOKFinalPayoffDisplayAgentOK","TimeOKFinalPayoffDisplayPrincipalOK","TimeTheEndTheEndOK","Ultimatum_Accept_Agent_atShare_Principal_10","Ultimatum_Accept_Agent_atShare_Principal_20","Ultimatum_Accept_Agent_atShare_Principal_30","Ultimatum_Accept_Agent_atShare_Principal_40","Ultimatum_Accept_Agent_atShare_Principal_50","Ultimatum_Accept_Agent_atShare_Principal_60","Ultimatum_Accept_Agent_atShare_Principal_70","Ultimatum_Accept_Agent_atShare_Principal_80","Ultimatum_Accept_Agent_atShare_Principal_90","PA_Accept_Agent_atWage_1","PA_Accept_Agent_atWage_3","PA_Accept_Agent_atWage_5","PA_Accept_Agent_atWage_10","PA_Accept_Agent_atWage_15","PA_Accept_Agent_atWage_20","PA_Accept_Agent_atWage_25","PA_Accept_Agent_atWage_30","PA_Accept_Agent_atWage_35","PA_Accept_Agent_atWage_40","PA_Accept_Agent_atWage_45","PA_Accept_Agent_atWage_50","PA_Accept_Agent_atWage_55","PA_Accept_Agent_atWage_60","PA_Accept_Agent_atWage_65","PA_Accept_Agent_atWage_75","PA_Accept_Agent_atWage_85","PA_Accept_Agent_atWage_95","PA_OfferedEffort_Agent_atWage_1","PA_OfferedEffort_Agent_atWage_3","PA_OfferedEffort_Agent_atWage_5","PA_OfferedEffort_Agent_atWage_10","PA_OfferedEffort_Agent_atWage_15","PA_OfferedEffort_Agent_atWage_20","PA_OfferedEffort_Agent_atWage_25","PA_OfferedEffort_Agent_atWage_30","PA_OfferedEffort_Agent_atWage_35","PA_OfferedEffort_Agent_atWage_40","PA_OfferedEffort_Agent_atWage_45","PA_OfferedEffort_Agent_atWage_50","PA_OfferedEffort_Agent_atWage_55","PA_OfferedEffort_Agent_atWage_60","PA_OfferedEffort_Agent_atWage_65","PA_OfferedEffort_Agent_atWage_75","PA_OfferedEffort_Agent_atWage_85","PA_OfferedEffort_Agent_atWage_95","Ultimatum_Offer_Principal","PA_Offer_Principal","PA_ExpectedAcceptance_Principal_atWage_1","PA_ExpectedAcceptance_Principal_atWage_3","PA_ExpectedAcceptance_Principal_atWage_5","PA_ExpectedAcceptance_Principal_atWage_10","PA_ExpectedAcceptance_Principal_atWage_15","PA_ExpectedAcceptance_Principal_atWage_20","PA_ExpectedAcceptance_Principal_atWage_25","PA_ExpectedAcceptance_Principal_atWage_30","PA_ExpectedAcceptance_Principal_atWage_35","PA_ExpectedAcceptance_Principal_atWage_40","PA_ExpectedAcceptance_Principal_atWage_45","PA_ExpectedAcceptance_Principal_atWage_50","PA_ExpectedAcceptance_Principal_atWage_55","PA_ExpectedAcceptance_Principal_atWage_60","PA_ExpectedAcceptance_Principal_atWage_65","PA_ExpectedAcceptance_Principal_atWage_75","PA_ExpectedAcceptance_Principal_atWage_85","PA_ExpectedAcceptance_Principal_atWage_95","PA_ExpectedEffort_Principal_atWage_1","PA_ExpectedEffort_Principal_atWage_3","PA_ExpectedEffort_Principal_atWage_5","PA_ExpectedEffort_Principal_atWage_10","PA_ExpectedEffort_Principal_atWage_15","PA_ExpectedEffort_Principal_atWage_20","PA_ExpectedEffort_Principal_atWage_25","PA_ExpectedEffort_Principal_atWage_30","PA_ExpectedEffort_Principal_atWage_35","PA_ExpectedEffort_Principal_atWage_40","PA_ExpectedEffort_Principal_atWage_45","PA_ExpectedEffort_Principal_atWage_50","PA_ExpectedEffort_Principal_atWage_55","PA_ExpectedEffort_Principal_atWage_60","PA_ExpectedEffort_Principal_atWage_65","PA_ExpectedEffort_Principal_atWage_75","PA_ExpectedEffort_Principal_atWage_85","PA_ExpectedEffort_Principal_atWage_95","profitmax_effort","real_profitmax_wage"
1,1,13,"160803_0949",1,"S","subjects",1,23,1,14.79,14.79,1,0.291501282,13,0.951119587,1,0.009169183,16,16,2,99999,8,8,99999,99999,80,20,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,75,4,99999,99999,0,25,3,99999,45,5,99999,5,4,3,99999,6,3,3,99999,3,99999,150,99999,1,1,4,50,50,146,0,0,0,0,130,130,20,1.66,100,8.3,20,1.66,99999,99999,0,99999," 1"," 1"," 1"," 1"," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,3,3,3,4,4,4,4,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,9,"160804_0951",2,"S","subjects",1,27,1,14.541,14.541,1,0.543181177,9,0.916880879,1,0.54593301,7,7,2,99999,1,1,99999,99999,80,20,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,55,10,99999,99999,1,27,2,99999,40,7,99999,8,8,8,99999,8,6,2,99999,5,99999,300,99999,1,1,6,35,50,127,0,0,0,0,130,127,20,1.66,150,12.45,150,12.45,99999,99999,0,99999," 1"," 1"," 1"," 1"," 1"," 1",NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,2,3,4,5,6,7,7,8,9,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,11,"160804_1119",3,"S","subjects",1,20,1,14.79,14.79,1,0.162194088,11,0.98449004,1,0.177362304,13,13,2,99999,2,2,99999,99999,80,20,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,20,4,99999,99999,1,24,3,99999,3,10,99999,4,7,9,99999,7,2,7,99999,3,99999,50,99999,1,1,7,60,50,150,0,0,0,0,130,130,20,1.66,175,14.525,20,1.66,99999,99999,0,99999," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1",NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,3,3,5,5,5,5,5,7,7,7,7,7,7,7,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,11,"160803_1122",1,"P","subjects",1,22,1,16.45,16.45,1,0.247120931,11,0.884114047,1,0.654804077,6,6,2,99999,1,NA,99999,99999,100,0,99999,99999,260027,99999,99999,150,10,1,0,NA,NA,99999,99999,0,0,0,99999,99999,95,1,99999,99999,0,19,1,99999,60,10,99999,4,7,7,99999,6,6,1,99999,5,99999,100,99999,1,0,0,20,50,105,0,0,0,0,150,150,0,0,NA,NA,0,0,99999,99999,0,99999," 1"," 1"," 1"," 1"," 1"," 1"," 1",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,6,"160803_1241",2,"P","subjects",1,22,1,14.79,14.79,1,0.768771228,6,0.991619093,1,0.747004197,4,4,2,99999,1,NA,99999,99999,70,30,99999,99999,260027,99999,99999,150,10,1,0,NA,NA,99999,99999,0,0,0,99999,99999,65,8,99999,99999,1,33,3,99999,60,10,99999,8,8,6,99999,10,3,8,99999,3,99999,300,99999,1,1,1,30,50,130,0,0,0,0,120,130,30,2.49,NA,NA,-1,-1,99999,99999,0,99999," 1"," 1"," 1"," 1"," 1"," 1",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,5,5,5,5,8,8,8,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,10,"160804_1250",3,"P","subjects",1,30,1,12.798,12.798,1,0.351770621,10,0.999088346,1,0.070751568,16,16,2,99999,8,NA,99999,99999,70,30,99999,99999,260027,99999,99999,150,10,1,0,NA,NA,99999,99999,0,0,0,99999,99999,60,10,99999,99999,1,25,3,99999,60,10,99999,8,3,2,99999,10,2,5,99999,2,99999,100,99999,1,1,4,10,50,106,0,0,0,0,120,106,30,2.49,NA,NA,-1,-1,99999,99999,0,99999," 1"," 1"," 1"," 1"," 1",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,4,3,4,5,6,7,7,8,8,8,9,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,11,"160803_0949",1,"S","subjects",1,22,1,10.64,10.64,1,0.356901449,11,0.479460436,10,0.581598483,3,3,2,99999,1,1,99999,99999,80,20,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,95,1,99999,99999,1,23,2,99999,50,8,99999,9,1,1,99999,10,2,5,99999,5,99999,0,99999,0,0,0,10,0,105,0,0,0,0,80,80,20,1.66,0,0,20,1.66,99999,99999,0,99999,NA,NA,NA," 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,7,8,9,10,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2,4,"160804_0951",2,"S","subjects",1,22,1,14.375,14.375,1,0.866844934,4,0.373086357,10,0.248617239,13,13,2,99999,10,10,99999,99999,60,40,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,95,10,99999,99999,1,25,3,99999,45,8,99999,8,9,6,99999,10,2,5,99999,1,99999,333,99999,1,1,7,35,40,125,0,0,0,0,100,125,40,3.32,175,14.525,175,14.525,99999,99999,0,99999," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1",NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,5,5,6,6,7,7,8,8,9,9,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,3,12,"160804_1119",3,"S","subjects",1,32,1,14.79,14.79,1,0.143648098,12,0.394301831,10,0.994575589,1,1,2,99999,3,3,99999,99999,80,20,99999,99999,260027,99999,99999,150,10,1,10,25,0,99999,99999,0,0,0,99999,99999,50,4,99999,99999,1,20,3,99999,50,6,99999,7,3,2,99999,10,3,0,99999,4,99999,30,99999,1,1,2,30,50,129,0,0,0,0,130,130,20,1.66,50,4.15,20,1.66,99999,99999,0,99999," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,2,3,4,5,6,7,7,8,9,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,4,4,"160803_1122",1,"P","subjects",1,30,1,10.64,10.64,1,0.709663703,4,0.332738022,10,0.537673047,9,9,2,99999,7,NA,99999,99999,80,20,99999,99999,260027,99999,99999,150,10,1,0,NA,NA,99999,99999,0,0,0,99999,99999,60,10,99999,99999,1,19,2,99999,60,10,99999,6,7,7,99999,8,7,3,99999,5,99999,400,99999,0,1,3,25,0,123,0,0,0,0,80,80,20,1.66,NA,NA,20,1.66,99999,99999,0,99999," 1"," 1"," 1"," 1"," 1"," 1",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,2,3,3,4,4,4,5,7,7,6,8,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
