table_id,model,term,coefficient,std_error,fit_stat,observations
Table A.2,GE real,Wage,.0912523151446074,.0067204679,.49438652,846
Table A.2,GE real,Constant,.2420269602568029,.14240199,.49438652,846
Table A.2,Prosocial real,Wage,.0870039258520525,.0066411444,.43199697,864
Table A.2,Prosocial real,Constant,.9909739041648961,.2683939,.43199697,864
Table A.2,GE expected,Wage,.0513494779620461,.0074906047,.24733238,846
Table A.2,GE expected,Constant,.3272035680255867,.1074518,.24733238,846
Table A.2,Prosocial expected,Wage,.0815084255433663,.0070249517,.44595632,864
Table A.2,Prosocial expected,Constant,.108267638631663,.15879484,.44595632,864
Table A.3,Neutral real,Wage,.0797570615208455,.0074478909,.39031905,810
Table A.3,Neutral real,Constant,.6967970535002934,.31258655,.39031905,810
Table A.3,Efficiency real,Wage,.0685413401719144,.0053338469,.41127831,1080
Table A.3,Efficiency real,Constant,-.0938064934859299,.2376238,.41127831,1080
Table A.3,Neutral expected,Wage,.0800335597030279,.0072950679,.45609713,810
Table A.3,Neutral expected,Constant,.0512613910391529,.13937861,.45609713,810
Table A.3,Efficiency expected,Wage,.0590919884124042,.0055937399,.37853351,1080
Table A.3,Efficiency expected,Constant,.0587955707524123,.14664769,.37853351,1080
Table A.4,1,Wage<5,-.716964285714257,.026875598,.26685932,2520
Table A.4,1,Constant,.8241071428571922,.016905321,.26685932,2520
Table A.4,2,Wage<5,-.6562499999999304,.050694615,.26984835,2520
Table A.4,2,GE treatment,-.0314716312058053,.041303352,.26984835,2520
Table A.4,2,Neutral treatment,.0041666666665353,.038725454,.26984835,2520
Table A.4,2,Wage<5*GE treatment,-.1030585106383784,.064428426,.26984835,2520
Table A.4,2,Wage<5*Neutral treatment,-.0812500000000795,.069164969,.26984835,2520
Table A.4,2,Constant,.8333333333334617,.025251497,.26984835,2520
Table A.4,3,Wage<5,-.6562499999999536,.050734989,.27482817,2520
Table A.4,3,GE treatment,-.0301994171859291,.040235512,.27482817,2520
Table A.4,3,Neutral treatment,.0067434290509741,.038819596,.27482817,2520
Table A.4,3,Wage<5*GE treatment,-.1030585106383381,.064479738,.27482817,2520
Table A.4,3,Wage<5*Neutral treatment,-.0812500000000419,.069220059,.27482817,2520
Table A.4,3,Constant,.7867943271272259,.081190214,.27482817,2520
Table A.4,4,Wage<5,-5.332077044596255,.34817243,,2520
Table A.4,4,Constant,2.234427606609438,.18831059,,2520
Table A.4,5,Wage<5,-4.706454455271608,.47363544,,2520
Table A.4,5,GE treatment,-.3972425198568398,.40771547,,2520
Table A.4,5,Neutral treatment,-.0691325403080701,.40239885,,2520
Table A.4,5,Wage<5*GE treatment,-1.635163564241505,.89240724,,2520
Table A.4,5,Wage<5*Neutral treatment,-.672913501244604,.76333553,,2520
Table A.4,5,Constant,2.379602041182653,.32801878,,2520
Table A.4,6,Wage<5,-4.703793589556306,.47519997,,2520
Table A.4,6,GE treatment,-.3855712347037993,.39703548,,2520
Table A.4,6,Neutral treatment,-.0436410691329399,.40969718,,2520
Table A.4,6,Wage<5*GE treatment,-1.639389226003795,.89204085,,2520
Table A.4,6,Wage<5*Neutral treatment,-.6934805042380421,.76499605,,2520
Table A.4,6,Constant,1.757974427087982,.78895259,,2520
Table A.5,1,Wage<5,-.6939516129032592,.02404714,.22821817,2790
Table A.5,1,Constant,.7810483870967622,.017293029,.22821817,2790
Table A.5,2,Wage<5,-.6562499999999861,.050672095,.23991019,2790
Table A.5,2,GE treatment,-.031471631205691,.041285008,.23991019,2790
Table A.5,2,Efficiency treatment,-.1104166666666858,.038389437,.23991019,2790
