table_id,model,term,coefficient,std_error,fit_stat,observations
Table 2,1,Wage<5,-.7072368421052447,.032763343,.25623888,1710
Table 2,1,Constant,.8177631578947259,.020682411,.25623888,1710
Table 2,2,Wage<5,-.7593085106383374,.039826117,.25998774,1710
Table 2,2,Prosocial treatment,.0314716312056662,.041369151,.25998774,1710
Table 2,2,Wage<5*Prosocial treatment,.1030585106383411,.064531066,.25998774,1710
Table 2,2,Constant,.8018617021276672,.032737371,.25998774,1710
Table 2,3,Wage<5,-.7593085106382331,.039872892,.2632626,1710
Table 2,3,Prosocial treatment,.0352772659930459,.040095542,.2632626,1710
Table 2,3,Wage<5*Prosocial treatment,.1030585106382394,.064606853,.2632626,1710
Table 2,3,Constant,.7565682210492536,.14670995,.2632626,1710
Table 2,4,Wage<5,-5.417393993376094,.40224975,,1710
Table 2,4,Constant,2.237109383777403,.25343046,,1710
Table 2,5,Wage<5,-6.473968330693749,.75649291,,1710
Table 2,5,Prosocial treatment,.4151458585311961,.42603588,,1710
Table 2,5,Wage<5*Prosocial treatment,1.667330603080367,.9083969,,1710
Table 2,5,Constant,2.012217930064253,.28395084,,1710
Table 2,6,Wage<5,-6.516575742857769,.75265801,,1710
Table 2,6,Prosocial treatment,.4772279758952253,.41830695,,1710
Table 2,6,Wage<5*Prosocial treatment,1.713891066224754,.90424639,,1710
Table 2,6,Constant,1.333302375735179,1.385995,,1710
Table 3,1,Wage,.0891057605546849,.0047023352,.45909974,1710
Table 3,1,Constant,.620442258231428,.15680248,.45909974,1710
Table 3,2,Wage,.0912523151446071,.0066857752,.46560442,1710
Table 3,2,Prosocial treatment,.7489469439080455,.30231944,.46560442,1710
Table 3,2,Wage*Prosocial treatment,-.0042483892925555,.0094005875,.46560442,1710
Table 3,2,Constant,.2420269602568369,.14166689,.46560442,1710
Table 3,3,Wage,.0912523151446068,.0066936268,.49103326,1710
Table 3,3,Prosocial treatment,.6338714558888873,.37417427,.49103326,1710
Table 3,3,Wage*Prosocial treatment,-.0042483892925544,.0094116284,.49103326,1710
Table 3,3,Constant,-2.992739786674085,1.2389605,.49103326,1710
Table 3,4,Wage,.1381905844696933,.0082882373,.1378241,1710
Table 3,4,Constant,-1.825757115202299,.35967338,.1378241,1710
Table 3,5,Wage,.1449988153562091,.010894287,.14051175,1710
Table 3,5,Prosocial treatment,1.430931693631292,.62587053,.14051175,1710
Table 3,5,Wage*Prosocial treatment,-.0134974785560165,.015957888,.14051175,1710
Table 3,5,Constant,-2.551929596640048,.41332069,.14051175,1710
Table 3,6,Wage,.1450190904347353,.01105873,.1499301,1710
Table 3,6,Prosocial treatment,1.340447725374785,.70661759,.1499301,1710
Table 3,6,Wage*Prosocial treatment,-.0141142765195199,.015919143,.1499301,1710
Table 3,6,Constant,-7.607781709749287,1.9463818,.1499301,1710
Table 4,1,Prosocial treatment,10.19636524822696,3.951901,.066477917,95
Table 4,1,Constant,25.57446808510638,2.4434905,.066477917,95
Table 4,2,Prosocial treatment,10.18679925478038,3.9577184,.073308229,95
Table 4,2,Charitable motivation,.0980949146158554,.11047423,.073308229,95
Table 4,2,Constant,24.07173747822519,3.161155,.073308229,95
Table 4,3,Prosocial treatment,14.59329598740222,5.6677256,.087848358,95
Table 4,3,Charitable motivation,.2503095975232201,.12434062,.087848358,95
Table 4,3,Prosocial treatment*Charitable motivation,-.2867896451706295,.20414001,.087848358,95
Table 4,3,Constant,21.73993808049535,3.5891781,.087848358,95
Table 4,4,Prosocial treatment,13.21808860928182,5.6685581,.11544041,95
Table 4,4,Charitable motivation,.1448776971098009,.1486278,.11544041,95
Table 4,4,Prosocial treatment*Charitable motivation,-.1823262397014772,.20313607,.11544041,95
Table 4,4,Constant,21.35986890627353,13.294213,.11544041,95
