Term,1,2,3,4,5,6
Wage<5,-0.694***,-0.656***,-0.656***,-5.210***,-4.593***,-4.593***
,(0.024),(0.051),(0.051),(0.276),(0.454),(0.454)
Constant,0.781***,0.833***,0.864***,1.838***,2.325***,2.570***
,(0.017),(0.025),(0.090),(0.168),(0.312),(0.734)
GE treatment,,-0.031,-0.022,,-0.377,-0.324
,,(0.041),(0.041),,(0.395),(0.384)
Efficiency treatment,,-0.110***,-0.103***,,-0.987***,-0.924***
,,(0.038),(0.037),,(0.349),(0.348)
Wage<5*GE treatment,,-0.103,-0.103,,-1.602*,-1.579*
,,(0.064),(0.064),,(0.873),(0.872)
Wage<5*Efficiency treatment,,-0.017,-0.017,,-0.687,-0.692
,,(0.061),(0.061),,(0.726),(0.716)
Observations,2790,2790,2790,2790,2790,2790
R-squared / pseudo R-squared,0.228,0.240,0.243,,,
