Term,1,2,3,4,5,6
Wage,0.086***,0.087***,0.087***,0.133***,0.132***,0.131***
,(0.004),(0.007),(0.007),(0.007),(0.012),(0.012)
Constant,0.645***,0.991***,-2.084***,-1.734***,-1.131**,-5.500***
,(0.146),(0.267),(0.795),(0.290),(0.521),(1.225)
GE treatment,,-0.749**,-0.715**,,-1.433**,-1.427**
,,(0.302),(0.348),,(0.624),(0.672)
Neutral treatment,,-0.294,-0.486,,-0.374,-0.660
,,(0.409),(0.426),,(0.766),(0.773)
Wage*GE treatment,,0.004,0.004,,0.014,0.014
,,(0.009),(0.009),,(0.016),(0.016)
Wage*Neutral treatment,,-0.007,-0.007,,-0.009,-0.009
,,(0.010),(0.010),,(0.017),(0.016)
Observations,2520,2520,2520,2520,2520,2520
R-squared / pseudo R-squared,0.436,0.443,0.466,0.130,0.132,0.141
