Term,1,2,3,4,5,6
Wage,0.081***,0.087***,0.087***,0.128***,0.128***,0.127***
,(0.004),(0.007),(0.007),(0.006),(0.011),(0.011)
Constant,0.344**,0.991***,-0.430,-2.308***,-0.955*,-2.910**
,(0.135),(0.267),(0.931),(0.293),(0.501),(1.344)
GE treatment,,-0.749**,-0.575*,,-1.389**,-1.163*
,,(0.302),(0.349),,(0.600),(0.646)
Efficiency treatment,,-1.085***,-0.943**,,-2.225***,-2.030***
,,(0.356),(0.390),,(0.747),(0.771)
Wage*GE treatment,,0.004,0.004,,0.013,0.013
,,(0.009),(0.009),,(0.015),(0.015)
Wage*Efficiency treatment,,-0.018**,-0.018**,,-0.012,-0.012
,,(0.008),(0.008),,(0.015),(0.014)
Observations,2790,2790,2790,2790,2790,2790
R-squared / pseudo R-squared,0.419,0.475,0.495,0.129,0.149,0.156
