table_id,model,term,coefficient,std_error,fit_stat,observations,p_value
Table A.2,GE real,Wage,0.0912523151446074,0.0067204679,0.49438652,846,0.0
Table A.2,GE real,Constant,0.2420269602568029,0.14240199,0.49438652,846,0.08920547917146848
Table A.2,Prosocial real,Wage,0.0870039258520525,0.0066411444,0.43199697,864,0.0
Table A.2,Prosocial real,Constant,0.990973904164896,0.2683939,0.43199697,864,0.00022229011540653154
Table A.2,GE expected,Wage,0.0513494779620461,0.0074906047,0.24733238,846,7.122080702970379e-12
Table A.2,GE expected,Constant,0.3272035680255867,0.1074518,0.24733238,846,0.0023258790030549203
Table A.2,Prosocial expected,Wage,0.0815084255433663,0.0070249517,0.44595632,864,0.0
Table A.2,Prosocial expected,Constant,0.108267638631663,0.15879484,0.44595632,864,0.49536018038481067
Table A.3,Neutral real,Wage,0.0797570615208455,0.0074478909,0.39031905,810,0.0
Table A.3,Neutral real,Constant,0.6967970535002934,0.31258655,0.39031905,810,0.02580504413657536
Table A.3,Efficiency real,Wage,0.0685413401719144,0.0053338469,0.41127831,1080,0.0
Table A.3,Efficiency real,Constant,-0.0938064934859299,0.2376238,0.41127831,1080,0.6930134260347913
Table A.3,Neutral expected,Wage,0.0800335597030279,0.0072950679,0.45609713,810,0.0
Table A.3,Neutral expected,Constant,0.0512613910391529,0.13937861,0.45609713,810,0.7130333996323452
Table A.3,Efficiency expected,Wage,0.0590919884124042,0.0055937399,0.37853351,1080,0.0
Table A.3,Efficiency expected,Constant,0.0587955707524123,0.14664769,0.37853351,1080,0.6884710974840316
Table A.4,1,Wage<5,-0.716964285714257,0.026875598,0.26685932,2520,0.0
Table A.4,1,Constant,0.8241071428571922,0.016905321,0.26685932,2520,0.0
Table A.4,2,Wage<5,-0.6562499999999304,0.050694615,0.26984835,2520,0.0
Table A.4,2,GE treatment,-0.0314716312058053,0.041303352,0.26984835,2520,0.4460820121670146
Table A.4,2,Neutral treatment,0.0041666666665353,0.038725454,0.26984835,2520,0.9143169338206536
Table A.4,2,Wage<5*GE treatment,-0.1030585106383784,0.064428426,0.26984835,2520,0.10969148163623332
Table A.4,2,Wage<5*Neutral treatment,-0.0812500000000795,0.069164969,0.26984835,2520,0.24010370224726163
Table A.4,2,Constant,0.8333333333334617,0.025251497,0.26984835,2520,0.0
Table A.4,3,Wage<5,-0.6562499999999536,0.050734989,0.27482817,2520,0.0
Table A.4,3,GE treatment,-0.0301994171859291,0.040235512,0.27482817,2520,0.4529137416217228
Table A.4,3,Neutral treatment,0.0067434290509741,0.038819596,0.27482817,2520,0.8620918186141115
Table A.4,3,Wage<5*GE treatment,-0.1030585106383381,0.064479738,0.27482817,2520,0.10997434590587107
Table A.4,3,Wage<5*Neutral treatment,-0.0812500000000419,0.069220059,0.27482817,2520,0.24047806838995944
Table A.4,3,Constant,0.7867943271272259,0.081190214,0.27482817,2520,0.0
Table A.4,4,Wage<5,-5.332077044596255,0.34817243,,2520,0.0
Table A.4,4,Constant,2.234427606609438,0.18831059,,2520,0.0
Table A.4,5,Wage<5,-4.706454455271608,0.47363544,,2520,0.0
Table A.4,5,GE treatment,-0.3972425198568398,0.40771547,,2520,0.32990110660826755
Table A.4,5,Neutral treatment,-0.0691325403080701,0.40239885,,2520,0.8635939490854816
Table A.4,5,Wage<5*GE treatment,-1.635163564241505,0.89240724,,2520,0.06690577295291966
Table A.4,5,Wage<5*Neutral treatment,-0.672913501244604,0.76333553,,2520,0.3780237016663113
Table A.4,5,Constant,2.379602041182653,0.32801878,,2520,4.0323300254385686e-13
Table A.4,6,Wage<5,-4.703793589556306,0.47519997,,2520,0.0
Table A.4,6,GE treatment,-0.3855712347037993,0.39703548,,2520,0.33148584251785795
Table A.4,6,Neutral treatment,-0.0436410691329399,0.40969718,,2520,0.9151695449115071
Table A.4,6,Wage<5*GE treatment,-1.639389226003795,0.89204085,,2520,0.066092451448162
Table A.4,6,Wage<5*Neutral treatment,-0.6934805042380421,0.76499605,,2520,0.3646632530587568
Table A.4,6,Constant,1.757974427087982,0.78895259,,2520,0.025864624159299243
Table A.5,1,Wage<5,-0.6939516129032592,0.02404714,0.22821817,2790,0.0
Table A.5,1,Constant,0.7810483870967622,0.017293029,0.22821817,2790,0.0
Table A.5,2,Wage<5,-0.6562499999999861,0.050672095,0.23991019,2790,0.0
Table A.5,2,GE treatment,-0.031471631205691,0.041285008,0.23991019,2790,0.44587996786052275
Table A.5,2,Efficiency treatment,-0.1104166666666858,0.038389437,0.23991019,2790,0.004024624425967849
Table A.5,2,Wage<5*GE treatment,-0.1030585106383055,0.064399809,0.23991019,2790,0.10953378118651536
Table A.5,2,Wage<5*Efficiency treatment,-0.0166666666666761,0.061130498,0.23991019,2790,0.7851293610215071
Table A.5,2,Constant,0.8333333333333401,0.025240282,0.23991019,2790,0.0
Table A.5,3,Wage<5,-0.6562499999999685,0.05070854,0.24340466,2790,0.0
Table A.5,3,GE treatment,-0.0219009572660021,0.040848251,0.24340466,2790,0.5918520527480213
Table A.5,3,Efficiency treatment,-0.1033318577998955,0.037445713,0.24340466,2790,0.00578879341225913
Table A.5,3,Wage<5*GE treatment,-0.1030585106383455,0.064446121,0.24340466,2790,0.10978901352760406
Table A.5,3,Wage<5*Efficiency treatment,-0.0166666666667146,0.06117446,0.24340466,2790,0.7852799900120091
Table A.5,3,Constant,0.8643175762859927,0.089952208,0.24340466,2790,0.0
Table A.5,4,Wage<5,-5.210263853737453,0.27600887,,2790,0.0
Table A.5,4,Constant,1.837973523565278,0.16763727,,2790,0.0
Table A.5,5,Wage<5,-4.593110910668932,0.45442232,,2790,0.0
Table A.5,5,GE treatment,-0.3774267338337342,0.39475915,,2790,0.3390249005994672
Table A.5,5,Efficiency treatment,-0.9868796828918708,0.34855914,,2790,0.004635747387699007
Table A.5,5,Wage<5*GE treatment,-1.601986598432294,0.8731792,,2790,0.06655614240553964
Table A.5,5,Wage<5*Efficiency treatment,-0.6870706937381655,0.72588468,,2790,0.3438789831081406
Table A.5,5,Constant,2.325391170175911,0.31172502,,2790,8.659739592076221e-14
Table A.5,6,Wage<5,-4.593482349483981,0.45364571,,2790,0.0
Table A.5,6,GE treatment,-0.3240309000690408,0.3840431,,2790,0.3988170753326101
Table A.5,6,Efficiency treatment,-0.9242268648946436,0.34795547,,2790,0.007903511921137696
Table A.5,6,Wage<5*GE treatment,-1.57890409058872,0.87244815,,2790,0.07033615626420087
