Treatment,Wage type,Wage
GE,Offered,25.574468085106382
GE,Expected profit-maximizing,26.04255319148936
GE,Guessed profit-maximizing,28.382978723404257
GE,Average real profit-maximizing,45.0
Prosocial,Offered,35.770833333333336
Prosocial,Expected profit-maximizing,31.520833333333332
Prosocial,Guessed profit-maximizing,39.770833333333336
Prosocial,Average real profit-maximizing,40.0
Neutral,Offered,35.2
Neutral,Expected profit-maximizing,27.6
Neutral,Guessed profit-maximizing,37.422222222222224
Neutral,Average real profit-maximizing,40.0
Efficiency,Offered,46.68333333333333
Efficiency,Expected profit-maximizing,57.75
Efficiency,Guessed profit-maximizing,51.016666666666666
Efficiency,Average real profit-maximizing,95.0
