Term,1,2,3,4,5,6
Wage<5,-0.707***,-0.759***,-0.759***,-5.417***,-6.474***,-6.517***
,(0.033),(0.040),(0.040),(0.402),(0.756),(0.753)
Constant,0.818***,0.802***,0.757***,2.237***,2.012***,1.333
,(0.021),(0.033),(0.147),(0.253),(0.284),(1.386)
Prosocial treatment,,0.031,0.035,,0.415,0.477
,,(0.041),(0.040),,(0.426),(0.418)
Wage<5*Prosocial treatment,,0.103,0.103,,1.667*,1.714*
,,(0.065),(0.065),,(0.908),(0.904)
Observations,1710,1710,1710,1710,1710,1710
R-squared / pseudo R-squared,0.256,0.260,0.263,,,
